SSC_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC30001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,4,0,3,7,3,0,0,16
SSC30002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC30003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0,0,6,5,0,3,9,13,4,3,0,0,32
SSC30004,0,4,0,4,10,8,4,3,0,31,0,0,3,0,4,5,0,0,0,15,0,0,0,0,4,3,0,0,0,9,0,0,3,0,6,3,3,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,11,0,0,0,3,3,0,3,0,22,76,10,21,29,56,56,35,33,9,324
SSC30005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC30006,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,3,0,0,12,12,11,3,0,51
SSC30007,0,36,137,99,89,63,20,3,0,443,0,10,86,94,54,46,9,0,0,298,0,3,57,55,41,13,5,4,0,177,0,4,31,30,17,12,0,0,0,96,0,0,30,19,23,10,3,0,0,87,0,0,4,9,12,0,0,0,0,23,67,52,107,76,87,77,92,62,41,659,476,602,1257,934,900,726,575,342,135,5949
SSC30008,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,3,3,0,3,11,0,3,0,0,25
SSC30009,0,3,13,13,22,12,3,0,0,62,0,0,4,4,9,5,0,0,0,25,0,0,16,10,6,0,0,0,0,35,0,0,3,0,4,4,0,0,0,15,0,0,3,9,3,0,0,0,0,15,0,0,0,0,3,0,0,0,0,10,18,3,8,14,19,6,11,3,0,88,73,49,112,127,126,96,72,18,3,678
SSC30010,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,3,4,6,9,21,10,13,4,3,77
SSC30011,0,0,3,3,7,4,7,0,0,24,0,0,3,3,10,7,0,0,0,18,0,0,0,0,3,3,0,0,0,10,0,0,0,4,4,0,0,0,0,14,0,0,3,3,3,4,0,0,0,13,0,0,0,3,5,3,0,0,0,9,3,0,3,9,5,7,6,3,0,38,27,10,31,62,66,59,60,8,0,328
SSC30012,0,0,5,11,4,12,5,0,0,35,0,0,4,3,9,10,3,0,0,33,0,0,11,11,10,0,3,0,0,33,0,0,3,5,3,0,0,0,0,10,0,0,0,7,3,3,0,0,0,17,0,0,3,4,7,3,0,0,0,18,3,0,9,5,3,7,6,0,0,29,19,15,57,65,81,70,64,15,6,382
SSC30013,0,0,3,4,9,6,3,0,0,30,0,0,3,0,11,3,3,0,0,23,0,0,3,10,10,4,0,0,0,25,0,0,0,0,3,10,0,0,0,8,0,0,0,6,8,3,0,0,0,17,0,0,0,4,3,0,0,0,0,5,0,6,6,5,12,3,5,3,0,39,26,18,43,63,67,54,34,15,0,315
SSC30014,0,4,17,18,27,15,5,3,0,91,0,4,15,17,18,21,7,0,0,73,0,0,4,13,24,14,3,0,0,55,0,0,7,7,8,10,3,0,0,41,0,0,10,13,22,9,5,0,0,59,0,0,0,9,19,6,0,0,0,45,27,5,27,35,68,44,26,8,0,240,120,63,189,293,414,391,264,55,6,1801
SSC30015,0,0,3,9,3,0,0,0,0,11,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,10,3,3,8,24,19,10,7,3,0,76
SSC30016,0,11,52,24,20,20,0,0,0,131,0,6,12,7,12,19,3,0,0,59,0,5,8,5,13,9,3,0,0,52,0,0,6,7,7,11,3,0,0,34,0,0,13,7,3,9,7,0,0,35,0,0,4,10,3,9,5,0,0,39,8,38,74,36,23,35,24,5,0,249,45,157,330,155,144,189,94,24,6,1149
SSC30017,0,3,4,5,5,3,0,0,0,25,0,3,0,0,3,8,0,3,0,19,0,0,3,4,4,5,0,0,0,20,0,0,0,3,4,4,4,0,0,11,0,0,3,0,3,3,0,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,4,0,7,4,3,0,0,22,19,23,36,32,62,60,29,9,6,283
SSC30018,0,28,89,65,61,42,22,3,0,305,0,6,59,58,43,39,5,6,0,214,0,3,37,47,51,36,4,0,0,184,0,0,11,33,34,23,3,3,0,111,0,0,28,35,45,19,10,0,0,139,0,0,5,13,12,12,4,5,0,41,26,18,65,38,52,41,33,39,13,330,319,334,712,619,589,531,369,303,94,3856
SSC30019,0,0,0,3,0,3,0,0,0,10,0,0,3,3,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,5,3,13,13,14,27,8,6,0,100
SSC30020,5,94,230,220,274,221,69,21,9,1142,0,34,181,227,259,166,53,4,3,927,0,11,158,214,271,160,26,7,0,857,0,4,95,165,200,112,12,0,3,594,0,0,76,270,311,187,21,0,0,874,0,0,26,128,201,85,14,3,3,467,57,33,63,74,105,84,78,83,77,656,1197,937,1484,2093,2541,1969,1367,674,295,12567
SSC30021,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,12,6,7,3,3,0,50
SSC30022,0,3,14,11,18,3,3,0,0,47,0,0,7,10,15,3,4,0,0,34,0,0,0,3,10,0,0,0,0,21,0,0,3,0,3,0,0,0,0,8,0,0,0,0,3,6,0,0,0,11,0,0,0,4,5,3,0,0,0,7,0,3,3,3,4,5,7,0,0,29,38,50,53,79,108,75,58,12,3,480
SSC30023,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,0,0,0,0,3,0,5,3,3,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,7,3,7,23,16,7,4,0,0,0,66,3,9,35,37,16,6,3,0,0,106
SSC30024,0,25,102,31,15,19,12,0,3,213,0,10,77,19,19,12,4,6,3,138,0,3,67,32,25,8,4,4,0,142,0,3,42,25,13,5,3,4,0,93,0,3,67,56,32,15,0,0,3,177,0,0,20,36,27,17,3,0,0,101,5,23,90,42,23,13,7,4,13,222,88,239,710,335,245,193,109,76,61,2050
SSC30025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,13
SSC30026,3,71,170,88,59,44,25,8,3,470,0,38,136,74,75,34,23,0,0,383,0,5,110,109,93,33,4,4,0,366,0,3,61,74,72,39,8,3,0,256,0,0,86,164,132,55,5,4,0,448,0,0,45,105,129,41,10,3,0,329,28,35,74,35,56,26,24,13,9,296,329,622,1140,933,862,524,371,169,71,5015
SSC30027,0,0,7,9,8,3,3,0,0,26,0,0,0,3,10,3,0,0,0,14,0,0,3,4,0,3,0,0,0,12,0,0,3,0,5,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,18,96,184,171,77,34,13,4,0,593,52,123,233,233,154,112,101,21,6,1050
SSC30028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC30029,0,3,5,3,0,0,3,0,0,14,0,0,0,0,3,0,0,0,0,8,0,0,3,0,4,3,0,0,0,14,0,0,3,0,3,0,0,0,0,9,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,0,0,0,0,5,3,6,0,3,3,6,3,3,0,20,14,21,22,15,34,40,16,9,0,165
SSC30030,0,19,75,37,72,65,25,6,10,318,0,12,73,35,47,36,18,0,4,226,0,3,61,37,46,40,13,3,0,201,0,0,16,20,31,25,11,7,0,105,0,0,41,31,64,34,16,3,3,191,0,0,15,33,38,22,12,3,0,113,25,32,58,45,50,59,53,77,87,478,226,252,669,413,586,565,383,238,214,3546
SSC30031,8,91,348,344,325,261,63,12,5,1446,0,36,229,222,186,179,29,0,0,879,0,22,158,187,198,139,10,3,0,714,0,8,86,121,110,80,7,0,0,415,0,4,59,134,140,99,15,3,0,457,0,0,14,40,43,27,6,0,0,133,47,60,119,116,105,95,66,55,38,705,1038,1041,2217,2234,2192,2173,1257,563,275,12995
SSC30032,3,34,213,187,160,124,33,9,3,763,0,14,118,151,79,56,12,3,4,440,0,3,90,116,77,42,10,0,0,338,0,3,39,63,38,43,3,0,0,190,0,0,59,69,34,31,3,0,0,196,0,0,9,14,13,21,5,0,0,60,35,27,66,47,50,41,40,16,14,340,482,479,1449,1259,960,932,736,300,162,6761
SSC30033,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,8,0,3,4,13,13,4,3,3,54
SSC30034,0,13,44,38,46,34,7,0,0,178,0,3,26,42,36,19,5,0,0,125,0,3,30,55,42,21,6,0,0,152,0,0,5,38,36,16,0,0,0,97,0,0,21,50,37,13,0,0,0,127,0,0,8,17,9,6,3,0,0,44,25,3,19,38,26,15,10,4,0,143,172,104,254,413,383,275,151,50,11,1817
SSC30035,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,5,6,12,16,14,3,0,73
SSC30036,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,13,18,8,3,0,46
SSC30037,0,18,40,25,34,35,8,4,3,171,0,9,28,32,32,10,3,0,0,113,0,4,27,22,19,21,4,0,0,94,0,3,14,18,10,11,0,0,0,56,0,0,27,20,27,14,3,0,0,98,0,0,10,15,3,9,0,0,0,38,32,20,34,33,26,29,40,33,16,266,234,219,400,309,353,328,233,157,83,2317
SSC30038,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,6,3,0,0,0,0,7,0,0,0,0,4,7,0,0,0,12,0,0,0,0,0,3,0,0,0,0,4,0,4,0,3,6,0,0,0,16,16,12,13,32,19,46,19,3,0,160
SSC30039,0,3,14,8,13,8,3,0,0,44,0,0,4,10,10,3,0,0,0,29,0,0,7,6,7,6,3,0,0,30,0,0,3,4,12,5,0,0,0,27,0,0,10,19,15,12,0,0,0,55,0,0,0,7,5,3,0,0,0,22,6,3,8,9,14,7,4,5,0,66,50,30,91,122,135,100,53,25,6,618
SSC30040,0,3,23,19,24,16,16,3,0,109,0,3,12,30,19,10,3,0,0,72,0,0,17,27,22,18,3,0,0,91,0,0,10,17,11,13,0,0,0,58,0,0,14,22,20,18,3,0,0,73,0,0,7,5,4,10,0,0,0,28,6,0,10,20,14,16,20,4,0,86,77,39,158,214,194,220,143,31,8,1066
SSC30041,0,4,7,14,13,19,18,0,3,75,0,3,5,13,10,10,3,0,0,45,0,0,0,3,12,6,5,0,0,30,0,0,0,5,3,0,0,0,0,8,0,0,3,4,7,0,0,0,0,15,0,0,0,0,3,3,0,0,0,8,10,0,5,13,9,17,22,6,12,90,73,53,72,128,136,173,183,112,88,1015
SSC30042,0,0,4,6,4,8,0,0,0,24,0,0,3,7,4,8,0,0,0,22,0,0,0,7,4,5,0,0,0,16,0,0,0,0,8,0,0,0,0,5,0,0,0,0,5,4,0,0,0,9,0,0,0,0,7,0,0,0,0,6,4,0,0,8,7,11,3,6,4,51,28,25,35,60,85,89,28,30,8,390
SSC30043,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,3,0,0,0,15,0,7,3,9,19,9,9,0,0,55
SSC30044,0,3,4,5,8,9,5,0,0,33,0,0,3,9,7,7,0,0,0,28,0,0,12,4,4,5,0,3,0,31,0,0,0,4,3,0,0,0,0,10,0,0,0,4,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,8,5,3,7,10,18,12,3,3,0,65,32,21,54,64,87,67,45,21,4,406
SSC30045,0,3,4,3,4,4,4,0,0,26,0,3,3,4,3,0,0,0,0,11,0,0,0,3,4,3,3,0,0,14,0,0,0,0,0,0,3,0,0,8,0,0,3,4,4,0,3,0,0,18,0,0,0,0,0,0,3,0,0,9,0,0,0,3,4,3,3,3,0,17,17,19,44,41,53,36,47,19,3,283
SSC30046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3
SSC30047,0,7,25,15,25,17,3,0,0,88,0,0,5,17,19,10,0,0,0,61,0,0,6,11,16,10,9,0,0,56,0,0,7,15,17,3,0,0,0,40,0,0,21,18,18,11,0,0,0,64,0,0,4,8,10,4,3,0,0,24,12,4,13,17,24,8,13,4,3,99,116,67,136,165,223,169,104,37,7,1033
SSC30048,0,0,3,7,6,0,0,0,0,15,0,0,0,0,0,0,0,0,0,9,0,0,0,7,0,5,0,0,0,11,0,0,0,0,0,3,0,0,0,3,0,0,0,4,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,0,0,0,6,9,17,3,0,48,11,6,21,32,36,54,62,13,0,245
SSC30049,0,0,3,3,14,10,9,3,0,37,0,0,3,3,7,5,0,0,0,23,0,0,0,3,7,0,0,0,0,15,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,3,0,0,0,3,3,4,5,3,3,5,16,0,0,38,27,35,56,62,87,115,108,27,3,517
SSC30050,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,3,3,0,0,13,0,3,6,0,18,11,6,0,0,45
SSC30051,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,7,4,4,5,4,0,0,20
SSC30052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC30053,10,33,19,4,3,0,0,0,0,59,0,10,10,3,3,0,0,0,0,32,0,3,11,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,5,5,0,0,0,0,0,24,33,96,75,22,15,3,3,0,0,242
SSC30054,0,0,0,4,3,0,0,0,0,12,0,0,0,0,0,0,3,0,0,5,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3,4,3,0,5,9,7,0,0,0,29,14,6,30,23,36,36,27,8,3,181
SSC30055,0,0,0,3,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,5,15,13,7,12,7,0,71
SSC30056,0,3,0,0,4,0,4,0,0,8,0,0,0,7,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,14,0,3,0,24,13,11,25,36,43,45,38,14,0,232
SSC30057,0,0,0,5,3,3,5,3,0,25,0,0,6,3,0,5,3,0,0,14,0,0,0,0,4,0,0,0,0,12,0,0,0,3,0,3,0,0,0,8,0,0,0,0,3,3,0,0,0,10,0,0,0,0,3,0,0,0,0,7,0,0,3,0,3,0,14,6,3,35,14,9,29,34,42,67,98,36,11,343
SSC30058,3,51,171,132,144,91,21,7,3,617,0,27,134,103,107,53,13,0,0,435,0,16,103,97,97,65,10,0,0,380,0,11,57,78,71,53,6,0,0,280,0,6,111,105,132,54,3,0,0,408,0,0,29,50,39,30,3,0,0,156,40,56,146,103,121,79,63,41,3,651,663,638,1450,1252,1287,1090,611,285,77,7357
SSC30059,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,0,16,3,3,6,19,18,18,12,9,0,85
SSC30060,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,6,0,3,7,8,10,8,3,0,43
SSC30061,0,0,0,4,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,7,17,12,20,5,0,68
SSC30062,0,51,115,104,128,131,49,11,0,593,0,27,86,114,128,103,21,3,7,487,0,10,71,114,148,97,11,0,0,452,0,4,37,106,103,75,20,0,0,335,0,0,47,131,206,99,24,8,0,506,0,0,9,63,80,52,9,4,0,220,31,33,45,60,42,29,46,23,7,311,716,603,829,1111,1325,1037,638,320,172,6750
SSC30063,0,110,404,197,135,90,28,3,3,967,0,58,303,148,104,59,10,0,0,692,0,12,229,154,107,75,13,3,0,598,0,4,111,120,92,56,12,0,0,389,0,4,195,201,134,71,11,0,0,619,0,3,34,101,86,52,11,0,3,287,63,119,247,123,106,74,72,35,26,864,568,1525,2907,1710,1295,1000,513,275,133,9924
SSC30064,0,9,21,21,18,20,14,0,0,104,0,0,13,13,29,15,5,0,0,80,0,0,11,20,31,19,3,0,0,77,0,0,12,14,21,12,9,0,0,62,0,0,13,44,28,24,11,3,0,116,0,0,0,24,37,19,7,3,0,84,3,7,3,12,8,14,11,10,0,57,111,80,116,209,248,195,151,55,25,1186
SSC30065,0,0,0,5,6,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,3,23,19,18,10,8,0,89
SSC30066,0,3,0,0,3,3,0,0,0,13,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,4,0,21,7,6,3,15,21,34,25,7,0,119
SSC30067,0,3,4,7,16,10,3,0,0,34,0,0,5,0,0,3,0,0,0,10,0,0,0,4,6,0,0,0,0,15,0,0,0,6,0,3,0,0,0,7,0,0,0,4,3,3,0,0,0,7,0,0,0,3,3,0,0,0,0,4,3,0,4,8,8,8,6,3,0,47,44,30,45,64,92,106,103,27,4,526
SSC30068,0,0,6,4,5,4,0,0,0,20,0,3,5,0,3,4,0,0,0,11,0,0,0,4,6,0,0,0,0,14,0,0,0,3,3,0,0,0,0,4,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,9,0,8,3,0,5,10,3,0,32,27,22,52,59,64,69,97,28,4,413
SSC30069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC30070,0,0,3,11,12,18,3,3,0,45,0,0,0,4,0,3,0,0,0,13,0,0,3,3,0,7,0,0,0,15,0,0,0,3,9,3,0,0,0,25,0,0,0,3,6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,3,0,3,5,0,7,3,3,0,24,35,30,52,55,92,125,69,43,5,508
SSC30071,0,0,5,0,3,4,0,0,0,10,0,0,3,3,5,3,0,0,0,17,0,0,3,6,3,0,0,0,0,10,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,14,7,18,42,40,30,38,28,17,0,224
SSC30072,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,3,0,0,14,3,3,3,8,17,8,12,0,0,53
SSC30073,0,35,131,133,111,96,40,4,0,553,0,14,107,120,110,51,28,3,0,431,0,9,111,107,119,58,11,4,0,416,0,0,60,83,73,33,9,0,0,249,0,3,76,146,129,45,6,0,0,404,0,0,10,40,43,18,0,0,0,114,28,11,38,23,29,29,25,20,6,209,430,370,916,1061,964,732,617,199,48,5341
SSC30074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,5
SSC30075,0,0,12,13,5,5,6,0,0,45,0,0,3,5,0,3,0,0,0,18,0,0,0,7,4,4,0,0,0,16,0,0,4,3,3,0,0,0,0,16,0,0,3,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,3,3,3,7,5,4,0,42,30,18,57,62,55,78,76,28,9,408
SSC30076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
