SSC_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC32974,0,0,0,0,0,8,0,0,0,10,0,0,0,0,5,0,0,0,0,5,0,0,3,0,7,0,0,0,0,12,0,0,3,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,5,0,0,13,12,8,20,18,26,25,22,3,0,139
SSC32975,0,50,186,203,261,188,70,26,16,1010,0,25,149,172,192,140,41,16,8,742,0,11,103,137,184,109,41,10,8,601,0,4,49,108,127,81,4,10,4,391,0,3,52,127,191,85,31,5,3,499,4,0,8,51,74,49,14,14,4,216,58,43,56,76,124,107,143,136,151,895,1022,758,1335,1652,2097,1860,1714,1290,697,12424
SSC32976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC32977,0,0,4,7,6,7,3,0,3,41,0,0,0,3,4,3,0,0,0,10,0,0,4,3,0,0,0,0,0,11,0,0,0,3,3,0,0,0,0,6,0,0,0,3,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,7,3,6,10,11,3,0,47,37,32,50,70,74,81,72,24,8,454
SSC32978,0,0,0,6,4,6,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,6,3,0,14,13,9,14,20,29,25,18,7,0,142
SSC32979,0,7,46,53,46,17,0,0,0,181,0,0,32,27,17,8,0,0,0,83,0,0,19,13,15,4,0,0,0,51,0,0,4,18,7,3,0,0,0,37,0,0,3,13,13,8,0,0,0,32,0,0,0,3,3,0,0,0,0,7,18,17,27,24,25,18,8,0,3,146,175,187,337,347,304,208,124,62,10,1750
SSC32980,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,8,7,3,9,12,0,0,38
SSC32981,0,13,49,49,32,30,9,0,0,187,0,3,43,38,26,16,4,3,0,138,0,3,45,46,31,13,3,0,0,151,0,0,28,46,19,17,0,0,0,103,0,0,45,57,31,22,0,0,0,147,0,0,5,17,10,5,0,0,0,44,8,11,25,30,24,16,7,11,6,147,91,124,398,394,271,243,119,71,46,1760
SSC32982,0,10,22,12,5,4,0,0,0,59,0,3,8,11,9,5,0,0,0,39,0,0,9,7,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,17,0,0,0,0,4,0,0,0,0,11,130,443,1099,745,374,143,65,29,7,3039,179,502,1216,862,474,228,121,56,17,3652
SSC32983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
